duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.05,0,0,0,0,0.830443,-0.27614,-0.384219,0.180493,0,0,0,0,-1.356107,0.68843,0.587426,-0.329106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.71,0.396058,0.918033,0.128965,-0.773546,0.339704,0.03431,-0.026417,-0.030049,-0.445604,-0.684403,0.888433,1.49363,-1.361618,-0.139316,0.158875,0.095799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
