time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
0.375578,-0.0178446,-0.00259205,1.50632,0.0180658,0.00780998,0.0027924,0.999802,0.0360932,0.0157184,0.00530219
0.385599,-0.0178793,-0.00257438,1.50639,0.0179156,0.00805506,0.00277165,0.999803,0.0357919,0.016207,0.00525429
0.395449,-0.0179006,-0.00254307,1.50647,0.0177788,0.00828689,0.00275653,0.999804,0.0355173,0.0166693,0.00521806
0.405446,-0.0179082,-0.00247329,1.50659,0.0176359,0.00849369,0.00274768,0.999805,0.0352306,0.0170818,0.00519549
0.415535,-0.0179235,-0.0024107,1.50668,0.017507,0.00872503,0.00272632,0.999805,0.0349721,0.017543,0.0051469
0.425482,-0.0179353,-0.00235652,1.50675,0.0173548,0.00891252,0.00274295,0.999806,0.0346665,0.0179177,0.00517633
0.435405,-0.0179344,-0.00229252,1.50684,0.0172162,0.00907935,0.00276302,0.999807,0.0343882,0.0182513,0.00521323
0.445451,-0.0179082,-0.0022157,1.50694,0.0171138,0.00921284,0.00276888,0.999807,0.0341825,0.018518,0.00522227
0.455506,-0.0178822,-0.0021338,1.50703,0.0170257,0.0093703,0.00276472,0.999807,0.0340056,0.0188322,0.00521025
0.465469,-0.0178614,-0.00205121,1.50711,0.0169378,0.00955175,0.00276989,0.999807,0.0338288,0.0191948,0.00521612
0.475474,-0.0178279,-0.0019656,1.50718,0.016849,0.00972076,0.00277419,0.999807,0.0336503,0.0195325,0.00522076
0.485496,-0.0177827,-0.00187172,1.50726,0.0167649,0.00987869,0.0027805,0.999807,0.0334812,0.0198481,0.00522976
0.495535,-0.0177161,-0.00176282,1.50734,0.0167261,0.0100232,0.00276001,0.999806,0.0334035,0.0201363,0.00518473
0.505526,-0.0176256,-0.00164112,1.50744,0.0167078,0.0100955,0.00275458,0.999806,0.0333665,0.0202804,0.00517182
0.515626,-0.0175204,-0.00149464,1.50753,0.0167134,0.0101636,0.0027478,0.999805,0.0333776,0.0204166,0.00515589
0.525554,-0.0174068,-0.00133592,1.50762,0.0167087,0.0102293,0.00276478,0.999804,0.0333675,0.0205483,0.00518776
0.535558,-0.0172702,-0.00115534,1.5077,0.0167165,0.0102902,0.00278424,0.999803,0.0333826,0.0206708,0.0052245
0.545554,-0.017113,-0.000952396,1.50779,0.0167254,0.0103442,0.00280011,0.999803,0.0333997,0.0207794,0.00525426
0.555618,-0.0169323,-0.000734203,1.50787,0.0167187,0.0103814,0.0028152,0.999802,0.0333859,0.0208543,0.00528333
0.565596,-0.016739,-0.000504779,1.50795,0.0167054,0.0104082,0.00282906,0.999802,0.0333588,0.0209084,0.00531043
0.575672,-0.0165267,-0.000257784,1.508,0.0166846,0.010434,0.00284465,0.999802,0.0333168,0.0209604,0.0053412
0.58564,-0.0162278,3.75943e-05,1.50815,0.0167372,0.0103925,0.00282684,0.999802,0.0334225,0.020877,0.00530585
0.595541,-0.0159987,0.000318208,1.50822,0.016832,0.0104471,0.00278566,0.9998,0.0336128,0.0209853,0.00521969
0.605538,-0.0157711,0.000572737,1.50827,0.016945,0.0105066,0.00275852,0.999797,0.0338392,0.021104,0.00516102
0.61555,-0.0155546,0.000806883,1.50828,0.0170437,0.0105818,0.00275344,0.999795,0.0340365,0.0212548,0.00514622
0.625551,-0.0152997,0.00102959,1.50832,0.0171574,0.0105919,0.00276889,0.999793,0.0342634,0.021276,0.00517438
0.635663,-0.0150638,0.001261,1.50834,0.0172799,0.0106395,0.00276884,0.99979,0.0345083,0.0213719,0.00517003
0.645481,-0.0148202,0.0014901,1.50835,0.0174142,0.0106608,0.00277163,0.999788,0.034777,0.0214152,0.00517198
0.655555,-0.0145539,0.00171009,1.50838,0.0175628,0.0105979,0.00278457,0.999786,0.0350742,0.0212907,0.00519689
0.665615,-0.0142882,0.00194484,1.50841,0.01778,0.0105417,0.00276162,0.999783,0.0355095,0.0211786,0.00514835
0.67557,-0.0140292,0.00216278,1.50844,0.0180168,0.0104551,0.00273738,0.999779,0.0359842,0.0210057,0.00509797
0.685688,-0.0137615,0.00236303,1.50847,0.0182627,0.0103304,0.00271189,0.999776,0.0364771,0.0207567,0.00504636
0.695625,-0.0134858,0.00255561,1.50851,0.0185106,0.0101841,0.00268596,0.999773,0.0369743,0.0204644,0.00499474
0.705606,-0.013183,0.00271713,1.50853,0.0187601,0.0099923,0.00267256,0.999771,0.0374744,0.0200816,0.00497
0.715504,-0.0129028,0.00289663,1.50855,0.0189924,0.00978573,0.00266226,0.999768,0.0379404,0.0196693,0.00495256
0.725509,-0.0126758,0.00305682,1.50852,0.0191917,0.00960546,0.00267437,0.999766,0.0383397,0.0193103,0.00497975
0.735507,-0.0124438,0.0032087,1.5085,0.0194114,0.00940157,0.00269307,0.999764,0.0387796,0.0189044,0.00502078
0.745539,-0.0122145,0.00334365,1.50848,0.019664,0.0091928,0.00271021,0.999761,0.0392856,0.0184888,0.00505847
0.755517,-0.0119964,0.00346015,1.50846,0.0199468,0.00897207,0.00272136,0.999757,0.0398522,0.0180493,0.00508432
0.765507,-0.0117765,0.00355374,1.50844,0.0202358,0.00874151,0.0027305,0.999753,0.0404311,0.0175901,0.00510668
0.775538,-0.0115288,0.00363516,1.50844,0.0205336,0.00844325,0.0027382,0.99975,0.0410282,0.0169955,0.00512904
0.785537,-0.0113291,0.00369335,1.50841,0.0208059,0.00813621,0.00275857,0.999747,0.041574,0.0163838,0.00517789
0.795601,-0.0111381,0.00373974,1.50838,0.0210609,0.00780559,0.00278186,0.999744,0.0420852,0.015725,0.00523419
0.805591,-0.010961,0.00377953,1.50835,0.0213174,0.00746485,0.00280773,0.999741,0.0425996,0.0150461,0.00529638
0.815582,-0.0108019,0.00379978,1.50831,0.0215771,0.00711918,0.00284128,0.999738,0.0431202,0.0143577,0.00537443
0.825472,-0.0106551,0.00379751,1.50828,0.0218409,0.00677231,0.00287994,0.999734,0.0436491,0.0136673,0.00546306
0.835543,-0.0105355,0.00379176,1.50823,0.0221126,0.00649038,0.0029022,0.99973,0.0441938,0.013106,0.0055163
0.845512,-0.0104245,0.00376788,1.50819,0.0223857,0.00621119,0.00292348,0.999726,0.0447413,0.0125502,0.00556773
0.855669,-0.0103258,0.00372632,1.50812,0.0226377,0.00593479,0.00294159,0.999722,0.0452466,0.0119997,0.00561328
0.865542,-0.0102166,0.00368492,1.50808,0.0228961,0.0056503,0.00293867,0.999718,0.0457651,0.0114322,0.00561734
0.87545,-0.010134,0.00362325,1.50802,0.0231136,0.00537236,0.00293725,0.999714,0.0462016,0.0108776,0.00562484
0.885451,-0.0100874,0.00352177,1.5079,0.0232693,0.00511628,0.00295496,0.999712,0.0465142,0.0103673,0.00567046
0.895602,-0.0100386,0.00340462,1.50779,0.0234063,0.00482086,0.00299045,0.99971,0.0467896,0.00977907,0.00575379
0.905482,-0.0100125,0.00329518,1.50768,0.0235149,0.00454031,0.003025,0.999709,0.0470079,0.00922037,0.005835
