time,x,y,z,qx,qy,qz,qw
0.00049905000000000001,-0.064195498824119568,-0.054464396089315414,0.984596848487854,-0.013363939709961414,0.015612744726240635,-1.1571455615921877e-05,0.99978882074356079
0.00054601300000000003,-0.063544295728206635,-0.055118635296821594,0.98525822162628174,-0.012283816002309322,0.0093023888766765594,-0.0003960698377341032,0.99988120794296265
0.00066535200000000002,-0.063326179981231689,-0.055342383682727814,0.98543864488601685,-0.012969674542546272,0.0055443323217332363,-0.00046058709267526865,0.99990040063858032
0.00069381200000000003,-0.062952272593975067,-0.055784009397029877,0.98557394742965698,-0.014567261561751366,-0.0019215644570067525,-0.00054729403927922249,0.99989187717437744
0.00071517200000000003,-0.062833040952682495,-0.055913940072059631,0.98573809862136841,-0.01455477811396122,-0.0038688166532665491,-0.00055973161943256855,0.99988645315170288
0.0028677870000000001,-0.062709912657737732,-0.056069370359182358,0.98566830158233643,-0.014831583015620708,-0.0053445040248334408,-0.00044941646046936512,0.99987560510635376
0.013029044,-0.062635980546474457,-0.05621207132935524,0.98558968305587769,-0.014318712987005711,-0.0051099215634167194,-0.00039696641033515334,0.99988436698913574
0.022899227000000001,-0.062543228268623352,-0.056310880929231644,0.98573285341262817,-0.012535902671515942,-0.0033191756810992956,-0.00039407133590430021,0.99991583824157715
0.032874044999999998,-0.062494520097970963,-0.05639391764998436,0.98586457967758179,-0.010508986189961433,-0.0011376736219972372,-0.000469351711217314,0.99994403123855591
0.042949853000000003,-0.062395144253969193,-0.056577380746603012,0.9857293963432312,-0.0093554044142365456,0.00082845368888229132,-0.00044446502579376101,0.99995577335357666
0.052818991000000003,-0.062394697219133377,-0.056705370545387268,0.98551702499389648,-0.00823192298412323,0.003904139855876565,-0.00037148807314224541,0.99995845556259155
0.062849785000000005,-0.062353942543268204,-0.05678122490644455,0.98554033041000366,-0.005799588281661272,0.0079887202009558678,-0.00049084442434832454,0.99995112419128418
0.072657110999999996,-0.062254685908555984,-0.056923918426036835,0.98564743995666504,-0.0032665261533111334,0.011687214486300945,-0.00056550092995166779,0.99992620944976807
0.082749807999999994,-0.062134541571140289,-0.057157721370458603,0.9855073094367981,-0.0022672654595226049,0.013568606227636337,-0.00031560836941935122,0.99990534782409668
0.092901684999999998,-0.062037494033575058,-0.057287830859422684,0.98511195182800293,-0.0023717775475233793,0.014452667906880379,-0.00010880580521188676,0.9998927116394043
0.102816429,-0.061870787292718887,-0.057453412562608719,0.98502647876739502,-0.0020632767118513584,0.015442509204149246,-0.00022578975767828524,0.99987858533859253
0.112887588,-0.061734985560178757,-0.05767691507935524,0.98522305488586426,-0.001346631208434701,0.015711164101958275,-0.0002993199450429529,0.99987560510635376
0.12274934899999999,-0.061533007770776749,-0.057874567806720734,0.98520320653915405,-0.001784539083018899,0.014106858521699905,-0.00041679065907374024,0.99989879131317139
0.132875153,-0.061281848698854446,-0.058100774884223938,0.98489683866500854,-0.0034463603515177965,0.011686127632856369,-0.00045849083107896149,0.99992567300796509
0.14294121800000001,-0.061087656766176224,-0.058292049914598465,0.98474776744842529,-0.0046969759277999401,0.0095425946637988091,-0.00061235384782776237,0.99994325637817383
0.152730908,-0.06087387353181839,-0.0585615374147892,0.98490661382675171,-0.0051261382177472115,0.0072615193203091621,-0.00077922904165461659,0.99996018409729004
0.16295995799999999,-0.060672160238027573,-0.058884996920824051,0.98488867282867432,-0.0067544612102210522,0.0042136013507843018,-0.00076466298196464777,0.99996799230575562
0.172946248,-0.060477174818515778,-0.05916908010840416,0.98460537195205688,-0.0090893907472491264,0.0011702842311933637,-0.00079024594742804766,0.99995768070220947
0.182881502,-0.060332130640745163,-0.059452477842569351,0.98437684774398804,-0.010826912708580494,-0.00061511941021308303,-0.00082261447096243501,0.99994087219238281
0.192735077,-0.06020616739988327,-0.059718847274780273,0.98440682888031006,-0.01184924878180027,-0.0011303240898996592,-0.00084331189282238483,0.99992877244949341
0.202969446,-0.060051210224628448,-0.05994722992181778,0.98434388637542725,-0.012002102099359035,-0.0010949748102575541,-0.0010712899966165423,0.99992680549621582
0.21285104899999999,-0.059912558645009995,-0.06017829105257988,0.98401862382888794,-0.013185266405344009,-0.0006397363031283021,-0.0011951270280405879,0.99991214275360107
0.22297143,-0.059746421873569489,-0.06034420058131218,0.98374837636947632,-0.013267522677779198,0.0011407884303480387,-0.001283341902308166,0.99991053342819214
0.23293892199999999,-0.059592973440885544,-0.060486514121294022,0.98377543687820435,-0.011891095899045467,0.0037449484225362539,-0.0016012503765523434,0.99992102384567261
0.242949729,-0.059439275413751602,-0.06086953729391098,0.98396223783493042,-0.010850915685296059,0.0063823675736784935,-0.001963017275556922,0.99991881847381592
0.25275599199999998,-0.059242397546768188,-0.06112419068813324,0.98384875059127808,-0.010295386426150799,0.0079937400296330452,-0.0025410810485482216,0.9999118447303772
0.26283240899999999,-0.059159703552722931,-0.061324771493673325,0.98347198963165283,-0.010579047724604607,0.0096474001184105873,-0.0027614361606538296,0.9998936653137207
0.27277038599999998,-0.059031598269939423,-0.061591867357492447,0.98352682590484619,-0.0095858527347445488,0.01205622311681509,-0.0030539038125425577,0.99987673759460449
0.28270783300000002,-0.058844644576311111,-0.061780150979757309,0.9836304783821106,-0.0083361174911260605,0.013629929162561893,-0.0034603606909513474,0.99986636638641357
0.29263693200000002,-0.058625586330890656,-0.062021784484386444,0.98350059986114502,-0.0086340392008423805,0.013576546683907509,-0.0037633718457072973,0.99986344575881958
